"title","company","city","state","country","job_type","modality","student_friendly","requirements_summary","source","source_url","posted_at","collected_date","query_term","query_loc","query_site"
"Finance Accounting Intern (Mty, N.L.)","Schneider Electric","Monterrey","Nle","México","nan","On-site",False,"**What qualifications will make you successful for this role?*** Bachelor in Finance or related. **(MUST\-Graduating in December 2026 or later)** * **Advanced Excel (Must)** * **Advanced English (Must)** * Proactive. * Teamwork. * **Hybrid scheme. (Punto Valle)** * **Morning availability** **Let us…","indeed","https://mx.indeed.com/viewjob?jk=9bdf2807c1f59bfa","2025-10-29","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
"HR Intern (MTY, Apodaca)","Schneider Electric","Apodaca","Nle","México","nan","On-site",True,"**What qualifications will make you successful for this role?** * Basic understanding of HR concepts and interest in developing a career in HR. * Proficiency in Microsoft Office tools * Time Management * Ability to maintain confidentiality and handle sensitive information with professionalism. * **…","indeed","https://mx.indeed.com/viewjob?jk=26bcc0042a7f11d2","2025-10-28","2025-11-06","internship","Monterrey, Nuevo Leon, Mexico","indeed"
"Transport & Logistics Intern","Schneider Electric","Apodaca","Nle","México","nan","On-site",False,"**What qualifications will make you successful for this role?*** Active student of engineering graduating in December 2026 or later * Knowledge of Excel for data analysis and tracking. * Basic/intermediate English skills for international processes. * SAP ERP knowledge (preferred) for managing tran…","indeed","https://mx.indeed.com/viewjob?jk=48ac0732888babe4","2025-11-03","2025-11-06","intern","Monterrey, Nuevo Leon, Mexico","indeed"
"Payroll intern","Sealed Air","Apodaca","Nle","México","nan","On-site",True,"** * Ser estudiante activo de nivel universitario (6° semestre en adelante) de las carreras: + Contaduría + Administración + Finanzas * Conocimiento básico en procesos de nómina. * Manejo de Excel. * Ganas de aprender, responsabilidad y actitud de servicio. **Short Description** -------------------…","indeed","https://mx.indeed.com/viewjob?jk=76d4238e9bb3d6b9","2025-10-27","2025-11-06","intern","Monterrey, Nuevo Leon, Mexico","indeed"
"Practicante Administrativo","Sekura y AER","San Pedro Garza García","Nle","México","parttime","On-site",True,"¡Estamos buscando Practicante de Administración y Finanzas!; ¿Te interesa el mundo de los números, la contabilidad y el flujo de efectivo? ¿Quieres adquirir experiencia práctica en; Requisitos; Ser estudiante activo(a) de las carreras de Actuaría, Licenciatura en Administración, Contabilidad o afín…","indeed","https://mx.indeed.com/viewjob?jk=adde7064065f0cff","2025-11-05","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Intern/Apprentice","Signify","Monterrey","Nle","México","nan","On-site",True,"About Signify; Through bold discovery and cutting\; edge innovation, we lead an industry that is vital for the future of our planet: lighting. Through our leadership in con; More about the role","indeed","https://mx.indeed.com/viewjob?jk=fcfa17b5e14550f6","2025-10-13","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
"Quality Intern","Signify","Monterrey","Nle","México","nan","On-site",True,"Quality Intern; to join our; Quality Team; Cienega de Flores","indeed","https://mx.indeed.com/viewjob?jk=625d88c30be2d538","2025-10-13","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
"On-Site Technical Support L1 - Ramos Arizpe","Stefanini","Ramos Arizpe","Coa","México","nan","Remote",True,"!

  

En Stefanini somos más de 30\.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co\; creando un futuro mejor.; Responsabilidades y atribuciones; Para enfrentar mejor estos desafíos, necesitas:","indeed","https://mx.indeed.com/viewjob?jk=fdad3b937144378a","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"On-Site Technical Support L1 - Saltillo Engine South","Stefanini","Saltillo","Coa","México","nan","Remote",True,"!

  

En Stefanini somos más de 30\.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co\; creando un futuro mejor.; Responsabilidades y atribuciones; Para enfrentar mejor estos desafíos, necesitas:","indeed","https://mx.indeed.com/viewjob?jk=5c8c00b4cbd6c871","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"On-Site Technical Support L1 - Saltillo Truck","Stefanini","Saltillo","Coa","México","nan","Remote",True,"!

  

En Stefanini somos más de 30\.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co\; creando un futuro mejor.; Responsabilidades y atribuciones; Para enfrentar mejor estos desafíos, necesitas:","indeed","https://mx.indeed.com/viewjob?jk=861276f69aa8c1f3","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
